id,name,shortName,order
212,Teoría Cuántica de Campos,,
213,Física de plasmas,,
214,Temas de Dinámica de Fluidos,,
215,Astrofísica,,
216,Incertezas experimentales,,
217,Temas de física de la materia condensada,,
218,Temas de nanofísica,,
219,Óptica cuántica,,
220,Teorías avanzadas de Termodinámica,,
221,Física de partículas elementales,,
222,Biología Celular e Introducción a la Biología Molecular,,
223,Química General,,
224,Física I,,
225,Química Orgánica A,,
226,Química Analítica,,
227,Química Biológica General, ,
228,Fisicoquímica de Alimentos,,
229,Estadística,,
230,Química de Alimentos,,
231,Microbiología General,,
232,Microbiología de alimentos,,
233,Operaciones Unitarias I,,
234,Nutrición,,
235,Toxicología de Alimentos I,,
236,Toxicología de Alimentos II,,
237,Legislación Alimentaria,,
238,Operaciones Unitarias II,,
239,Fundamentos de preservación de alimentos I,,
240,Análisis avanzado de alimentos,,
241,Fundamentos de preservación de alimentos II,,
242,Biotecnología de alimentos I,,
243,Biotecnología de alimentos II,,
244,Tecnología de alimentos I,,
245,Tecnología de alimentos II,,
246,Procesamiento de alimentos en planta piloto,,
247,"Gestión, control y garantía de la calidad en la industria alimentaria",,
248,Economía de la empresa alimentaria,,
249,Biodiversidad de Vegetales,,
250,Int.a las Cs.de la Atmósfera y los Océanos,,
251,Int.a la Biología Molecular para Paleontólogos,,
252,Biodiversidad de Animales,,
253,Geología General,,
254,Física para Paleontólogos,,
255,Paleontología,,
256,Biometría,,
257,Química General e Inorgánica p. Paleontólogos,,
258,Fundamentos de Sedimentología y Estratigrafía,,
259,Paleobotánica,,
260,Química Orgánica para Paleontólogos,,
261,Ambientes Sedimentarios,,
262,Paleontología de Invertebrados,,
263,Genética General,,
264,Vertebrados,,
265,Fundamentos de Micropaleontología,,
266,Evolución para Paleontólogos,,
267,Paleontología de Vertebrados,,
268,Bioestratigrafía,,
269,Tesis de Licenciatura,,
270,Oceanografía General,,
271,Laboratorio 1,,
272,Probabilidad y estadística,,
273,Cálculo numérico,,
274,Meteorología y oceanografía teórica,,
275,Laboratorio 2,,
276,Dinámica de la atmósfera y el océano 1,,
277,Química del agua de mar,,
278,circulación general,,
279,Tesis de Licenciatura,,
