id,idDegree,idSubject
1,3,1
2,3,2
3,3,3
4,3,4
5,3,5
6,3,6
7,3,7
8,3,8
9,3,9
10,3,10
11,3,11
12,3,12
13,3,13
14,3,14
15,3,15
16,3,16
17,3,17
18,3,18
19,3,19
20,3,20
21,3,21
22,3,22
23,6,1
24,6,2
25,6,23
26,6,24
27,6,25
28,6,26
29,6,27
30,6,28
31,6,29
32,6,30
33,6,31
34,6,32
35,6,33
36,6,34
37,6,35
38,6,36
39,6,37
40,6,38
41,6,39
42,6,40
43,6,41
44,6,42
45,11,1
46,11,2
47,11,23
48,11,24
49,11,25
50,11,26
51,11,27
52,11,28
53,11,29
54,11,43
55,11,44
56,11,45
57,11,46
58,11,47
59,11,48
60,11,49
61,11,50
62,11,51
63,11,52
64,11,53
65,11,54
66,11,55
67,4,56
68,4,57
69,4,58
70,4,59
71,4,23
72,4,61
73,4,62
74,4,63
75,4,64
76,4,65
77,4,66
78,4,67
79,4,68
80,4,69
81,4,70
82,4,71
83,4,72
84,4,73
85,4,74
86,4,75
87,4,76
88,4,77
89,4,78
90,4,79
91,4,80
92,4,81
93,4,82
94,4,83
95,4,84
96,7,85
97,7,86
98,7,87
99,7,88
100,7,89
101,7,90
102,7,91
103,7,92
104,7,93
105,7,94
106,7,95
107,7,96
108,7,97
109,7,98
110,7,99
111,7,100
112,7,101
113,7,102
114,7,103
115,7,104
116,7,1
117,7,23
